"variable","question","choices"
"ancnow_pdoc_where","Where did you receive care from the Private Doctor?","1=Home; 2=Government hospital; 3=Private doctor/clinic; 4=SRHC-RHC; 5=Routine ANC place within village/ward; 6=EHO Clinic; 888=Other (specify)"
"ancnow_pdoc_where_oth","Others Specify",""
"ancnow_pdoc_dist_dry","How long does it take you to get to this place where you receive antenatal care sessions during the dry season?","1=< 15 minutes; 2=15 minutes to 1 hour; 3=1 hour to 2 hours; 4=2 hours to 6 hours; 5=6 hours to 12 hours; 6=12 hours to 24 hours; 7=> 24 hours"
"ancnow_pdoc_dist_wet","How long does it take you to get to this place where you receive antenatal care sessions during the rainy season?","1=< 15 minutes; 2=15 minutes to 1 hour; 3=1 hour to 2 hours; 4=2 hours to 6 hours; 5=6 hours to 12 hours; 6=12 hours to 24 hours; 7=> 24 hours"
"ancnow_pdoc_visit","How many antenatal care sessions have you attended?",""
"ancnow_pdoc_1tri_times","Number of visits in First Trimester",""
"ancnow_pdoc_2tri_times","Number of visits in Second Trimester",""
"ancnow_pdoc_3tri_times","Number of visits in Third Trimester",""
"ancnow_lhv_where","Where did you receive care from the Lady Health Visitor?","1=Home; 2=Government hospital; 3=Private doctor/clinic; 4=SRHC-RHC; 5=Routine ANC place within village/ward; 6=EHO Clinic; 888=Other (specify)"
"ancnow_lhv_where_oth","Others Specify",""
"ancnow_lhv_dist_dry","How long does it take you to get to this place where you receive antenatal care sessions during the dry season?","1=< 15 minutes; 2=15 minutes to 1 hour; 3=1 hour to 2 hours; 4=2 hours to 6 hours; 5=6 hours to 12 hours; 6=12 hours to 24 hours; 7=> 24 hours"
"ancnow_lhv_dist_wet","How long does it take you to get to this place where you receive antenatal care sessions during the rainy season?","1=< 15 minutes; 2=15 minutes to 1 hour; 3=1 hour to 2 hours; 4=2 hours to 6 hours; 5=6 hours to 12 hours; 6=12 hours to 24 hours; 7=> 24 hours"
"ancnow_lhv_visit","How many antenatal care sessions have you attended?",""
"ancnow_lhv_1tri_times","Number of visits in First Trimester",""
"ancnow_lhv_2tri_times","Number of visits in Second Trimester",""
"ancnow_lhv_3tri_times","Number of visits in Third Trimester",""
"ancnow_mw_where","Where did you receive care from the Midwife?","1=Home; 2=Government hospital; 3=Private doctor/clinic; 4=SRHC-RHC; 5=Routine ANC place within village/ward; 6=EHO Clinic; 888=Other (specify)"
"ancnow_mw_where_oth","Others Specify",""
"ancnow_mw_dist_dry","How long does it take you to get to this place where you receive antenatal care sessions during the dry season?","1=< 15 minutes; 2=15 minutes to 1 hour; 3=1 hour to 2 hours; 4=2 hours to 6 hours; 5=6 hours to 12 hours; 6=12 hours to 24 hours; 7=> 24 hours"
"ancnow_mw_dist_wet","How long does it take you to get to this place where you receive antenatal care sessions during the rainy season?","1=< 15 minutes; 2=15 minutes to 1 hour; 3=1 hour to 2 hours; 4=2 hours to 6 hours; 5=6 hours to 12 hours; 6=12 hours to 24 hours; 7=> 24 hours"
"ancnow_mw_visit","How many antenatal care sessions have you attended?",""
"ancnow_mw_1tri_times","Number of visits in First Trimester",""
"ancnow_mw_2tri_times","Number of visits in Second Trimester",""
"ancnow_mw_3tri_times","Number of visits in Third Trimester",""
"ancnow_amw_where","Where did you receive care from the Auxillary Midwife?","1=Home; 2=Government hospital; 3=Private doctor/clinic; 4=SRHC-RHC; 5=Routine ANC place within village/ward; 6=EHO Clinic; 888=Other (specify)"
"ancnow_amw_where_oth","Others Specify",""
"ancnow_amw_dist_dry","How long does it take you to get to this place where you receive antenatal care sessions during the dry season?","1=< 15 minutes; 2=15 minutes to 1 hour; 3=1 hour to 2 hours; 4=2 hours to 6 hours; 5=6 hours to 12 hours; 6=12 hours to 24 hours; 7=> 24 hours"
"ancnow_amw_dist_wet","How long does it take you to get to this place where you receive antenatal care sessions during the rainy season?","1=< 15 minutes; 2=15 minutes to 1 hour; 3=1 hour to 2 hours; 4=2 hours to 6 hours; 5=6 hours to 12 hours; 6=12 hours to 24 hours; 7=> 24 hours"
"ancnow_amw_visit","How many antenatal care sessions have you attended?",""
"ancnow_amw_1tri_times","Number of visits in First Trimester",""
"ancnow_amw_2tri_times","Number of visits in Second Trimester",""
"ancnow_amw_3tri_times","Number of visits in Third Trimester",""
"ancnow_tba_where","Where did you receive care from the Traditional Birth Attendance?","1=Home; 2=Government hospital; 3=Private doctor/clinic; 4=SRHC-RHC; 5=Routine ANC place within village/ward; 6=EHO Clinic; 888=Other (specify)"
"ancnow_tba_where_oth","Others Specify",""
"ancnow_tba_dist_dry","How long does it take you to get to this place where you receive antenatal care sessions during the dry season?","1=< 15 minutes; 2=15 minutes to 1 hour; 3=1 hour to 2 hours; 4=2 hours to 6 hours; 5=6 hours to 12 hours; 6=12 hours to 24 hours; 7=> 24 hours"
"ancnow_tba_dist_wet","How long does it take you to get to this place where you receive antenatal care sessions during the rainy season?","1=< 15 minutes; 2=15 minutes to 1 hour; 3=1 hour to 2 hours; 4=2 hours to 6 hours; 5=6 hours to 12 hours; 6=12 hours to 24 hours; 7=> 24 hours"
"ancnow_tba_visit","How many antenatal care sessions have you attended?",""
"ancnow_tba_1tri_times","Number of visits in First Trimester",""
"ancnow_tba_2tri_times","Number of visits in Second Trimester",""
"ancnow_tba_3tri_times","Number of visits in Third Trimester",""
"ancnow_chw_where","Where did you receive care from the Community Health Worker?","1=Home; 2=Government hospital; 3=Private doctor/clinic; 4=SRHC-RHC; 5=Routine ANC place within village/ward; 6=EHO Clinic; 888=Other (specify)"
"ancnow_chw_where_oth","Others Specify",""
"ancnow_chw_dist_dry","How long does it take you to get to this place where you receive antenatal care sessions during the dry season?","1=< 15 minutes; 2=15 minutes to 1 hour; 3=1 hour to 2 hours; 4=2 hours to 6 hours; 5=6 hours to 12 hours; 6=12 hours to 24 hours; 7=> 24 hours"
"ancnow_chw_dist_wet","How long does it take you to get to this place where you receive antenatal care sessions during the rainy season?","1=< 15 minutes; 2=15 minutes to 1 hour; 3=1 hour to 2 hours; 4=2 hours to 6 hours; 5=6 hours to 12 hours; 6=12 hours to 24 hours; 7=> 24 hours"
"ancnow_chw_visit","How many antenatal care sessions have you attended?",""
"ancnow_chw_1tri_times","Number of visits in First Trimester",""
"ancnow_chw_2tri_times","Number of visits in Second Trimester",""
"ancnow_chw_3tri_times","Number of visits in Third Trimester",""
"ancnow_ehw_where","Where did you receive care from the Ethnic Health Worker?","1=Home; 2=Government hospital; 3=Private doctor/clinic; 4=SRHC-RHC; 5=Routine ANC place within village/ward; 6=EHO Clinic; 888=Other (specify)"
"ancnow_ehw_where_oth","Others Specify",""
"ancnow_ehw_dist_dry","How long does it take you to get to this place where you receive antenatal care sessions during the dry season?","1=< 15 minutes; 2=15 minutes to 1 hour; 3=1 hour to 2 hours; 4=2 hours to 6 hours; 5=6 hours to 12 hours; 6=12 hours to 24 hours; 7=> 24 hours"
"ancnow_ehw_dist_wet","How long does it take you to get to this place where you receive antenatal care sessions during the rainy season?","1=< 15 minutes; 2=15 minutes to 1 hour; 3=1 hour to 2 hours; 4=2 hours to 6 hours; 5=6 hours to 12 hours; 6=12 hours to 24 hours; 7=> 24 hours"
"ancnow_ehw_visit","How many antenatal care sessions have you attended?",""
"ancnow_ehw_1tri_times","Number of visits in First Trimester",""
"ancnow_ehw_2tri_times","Number of visits in Second Trimester",""
"ancnow_ehw_3tri_times","Number of visits in Third Trimester",""
"ancnow_oth_where","Where did you receive care from the ${ancnow_who_oth}?","1=Home; 2=Government hospital; 3=Private doctor/clinic; 4=SRHC-RHC; 5=Routine ANC place within village/ward; 6=EHO Clinic; 888=Other (specify)"
"ancnow_oth_where_oth","Others Specify",""
"ancnow_oth_dist_dry","How long does it take you to get to this place where you receive antenatal care sessions during the dry season?","1=< 15 minutes; 2=15 minutes to 1 hour; 3=1 hour to 2 hours; 4=2 hours to 6 hours; 5=6 hours to 12 hours; 6=12 hours to 24 hours; 7=> 24 hours"
"ancnow_oth_dist_wet","How long does it take you to get to this place where you receive antenatal care sessions during the rainy season?","1=< 15 minutes; 2=15 minutes to 1 hour; 3=1 hour to 2 hours; 4=2 hours to 6 hours; 5=6 hours to 12 hours; 6=12 hours to 24 hours; 7=> 24 hours"
"ancnow_oth_visit","How many antenatal care sessions have you attended?",""
"ancnow_oth_1tri_times","Number of visits in First Trimester",""
"ancnow_oth_2tri_times","Number of visits in Second Trimester",""
"ancnow_oth_3tri_times","Number of visits in Third Trimester",""
"ancnow_cost","Were there any costs involved in attending the antenatal care sessions?","1=Yes; 0=No; 777=Not sure; 999=Don't know"
"ancnow_amount","How much did it cost to attend the antenatal care sessions?",""
"ancnow_costitem","What are the cost related to attend the antenatal care session?","1=Transportation; 2=Registration fees; 3=Medicines; 4=Laboratory tests; 5=Provider fees; 6=Gifts; 888=Other (specify)"
"ancnow_costitem_oth","I. Other (specify) ANC related cost.",""
"ancnow_borrow","Does this cost require you to take a loan or borrow money?","1=Yes; 0=No; 777=Not sure; 999=Don't know"
"ancnow_mchbook","Did you receive MCH Booklet during ANC visit?","1=Yes; 0=No"
"ancnow_conselling","Did you receive counselling during ANC visit?","1=Yes; 0=No"
"ancnow_noreason","Why are you not attending any antenatal care sessions for your current pregnancy?","0=Plan to see someone in the future; 1=Did not think it was important; 2=Long distance; 3=Not allowed by family; 4=No family members to come with me; 5=No  health facility; 6=No health staff present; 7=Financial difficulties; 888=Other (specify); 777=No answer; 999=Don’t know"
"ancnow_noreason_oth","I. Other (specify):",""
"ancnow_restrict","Did you avoid eating any particular kind of food during your current pregnancy?","1=Yes; 0=No"
"ancnow_restrict_item","What type of food did you avoid during your pregnancy?","1=Vegetables; 2=Fruits; 3=Grains; 4=Meat; 5=Fish; 6=Diary foods; 888=Other (specify)"
"ancnow_restrict_item_oth","Please specify the type of food.",""
"ancnow_restrict_why","Why did you avoid eating those kinds of food during your current pregnancy?","1=Adults asked to avoid; 2=Traditional habit; 888=Other (specify)"
"ancnow_restrict_why_oth","I. Other (specify):",""
"ancnow_bone","Did you take B1 tablets during your current pregnancy?","1=Yes; 0=No; 999=Do not know"
"ancnow_rion","Did you take iron+folic/ mincronutrient/ prenatal tablets during your current pregnancy?","1=Yes; 0=No; 999=Do not know"
"ancnow_iron_freq","How often did you take the iron+folic/mincronutrient/prenatal tables?","0=Not remember the frequency; 1=Number of tablet per day; 2=Number of tablet per week; 3=Number of tablet per month"
"ancnow_iron_freq_lab",NA,""
"ancnow_iron_count","Please specify the number of tablet per ${ancnow_iron_freq_lab}",""
"ancnow_rion_length","For how long did you take the iron+folic/mincronutrient/prenatal tablets?","1=Less than one month; 2=1 month or more (how many months)"
"ancnow_rion_length_oth","Please specify the number of months.",""
"ancnow_iron_cost","Where there any costs involved in taking iron+folic/mincronutrient/prenatal tablets?","1=Yes; 0=No"
"ancnow_iron_amount","How much did it cost to take iron+folic/mincronutrient/prenatal tablets?",""
"ancnow_iron_source","From which source did you get iron+folic/mincronutrient/prenatal tablets?","1=Government hospital; 2=EHO Clinic; 3=Private doctor/clinic; 4=SRHC-RHC; 5=Routine ANC place within village/ward; 888=Other (specify)"
"ancnow_iron_source_oth","Please specify the source.",""
"ancnow_test_yesno","If the participants is pregnant, ask whether she got testing of infection during ANC?","0=No testing; 1=Viral hepatitis B; 2=Viral hepatitis C; 3=HIV/AIDS; 4=Syphilis; 888=Other (specify); 999=Don't know"
"ancnow_test_yesno_oth","Other (specify):",""
"ancnow_test_where","If yes, where it was tested?","1=Government hospital; 2=EHO Clinic; 3=Private doctor/clinic; 4=SRHC-RHC; 5=Routine ANC place within village/ward; 888=Other (specify)"
"ancnow_test_cost","How much did she have to pay for testing?",""
"ancnow_test_where_oth","Please specify the other testing place.",""
