"variable","question","choices"
"child_cough_treat","Did you seek advice or treatment for the pneumonia/cough ?","1=Yes; 0=No"
"child_cough_notreat","What are the reasons you did  not seek treatment for this illness?","1=No health facility available; 2=Health facility too far; 3=Health facility not accessible; 4=Treatment is expensive; 5=Did not believe treatment was necessary; 6=I was advised not to seek treatment at a health facility; 7=Used alternative treatment; 8=Don’t know about seeking treatment/help; 888=Other (specify); 777=No answer; 999=Don't know"
"child_cough_notreat_oth","Others",""
"child_cough_notice","How long after the illness did you seek treatment for pneumonia/cough ?",""
"child_cough_notice_unit","Unit","1=Day; 2=Week; 3=Month"
"child_cough_where","Where did you go for advice or treatment for pneumonia/cough ?","1=Township hospital; 2=Station hospital; 3=RHC/Health Assistant; 4=SRHC/Midwife; 5=Private clinic/doctor; 6=Community Health Worker; 7=Traditional healer; 8=Untrained health provider; 9=Drug from the shop; 10=EHO clinics/volunteers; 11=Family Members; 12=NGO’s Clinic; 13=Auxillary Midwife; 888=Others; 999=Don’t Know"
"child_cough_where_oth","Others",""
"child_cough_else","Did you go anywhere else for advice or treatment for this illness?","0=Nowhere else; 1=Township hospital; 2=Station hospital; 3=RHC/Health Assistant; 4=SRHC/Midwife; 5=Private clinic/doctor; 6=Community Health Worker; 7=Traditional healer; 8=Untrained health provider; 9=Drug from the shop; 10=EHO clinics/volunteers; 11=Family Members; 12=NGO’s Clinic; 13=Auxillary Midwife; 888=Others; 999=Don't Know"
"child_cough_else_oth","Others",""
"child_cough_pay","Did you pay for the advice or treatment?","1=Yes; 0=No; 777=Not sure; 999=Don't know"
"child_cough_amount","How much did you have to pay for all the treatments?",""
"child_cough_items","What are the cost related?","1=Transportation; 2=Registration fees; 3=Medicines; 4=Laboratory tests; 5=Provider fees; 6=Gifts; 888=Other (specify)"
"child_cough_loan","Did the total cost of the treatment require you to take a loan or borrow money?","1=Yes; 0=No; 777=Not sure; 999=Don't know"
"child_cough_items_oth","Please specify other cost item.",""
"child_cough_still","Does the child still feeling pneumonia/cough?","1=Yes; 0=No"
"child_cough_recover","How long did child take to recover?",""
"child_cough_recoverunit","Select unit","1=Day; 2=Week; 3=Month"
"child_fever_treat","Did you seek advice or treatment for the fever?","1=Yes; 0=No"
"child_fever_notreat","What are the reasons you did  not seek treatment for this illness?","1=No health facility available; 2=Health facility too far; 3=Health facility not accessible; 4=Treatment is expensive; 5=Did not believe treatment was necessary; 6=I was advised not to seek treatment at a health facility; 7=Used alternative treatment; 8=Don’t know about seeking treatment/help; 888=Other (specify); 777=No answer; 999=Don't know"
"child_fever_notreat_oth","Others",""
"child_fever_notice","How long after the illness did you seek treatment for fever?",""
"child_fever_notice_unit","Unit","1=Day; 2=Week; 3=Month"
"child_fever_where","Where did you go for advice or treatment for fever?","1=Township hospital; 2=Station hospital; 3=RHC/Health Assistant; 4=SRHC/Midwife; 5=Private clinic/doctor; 6=Community Health Worker; 7=Traditional healer; 8=Untrained health provider; 9=Drug from the shop; 10=EHO clinics/volunteers; 11=Family Members; 12=NGO’s Clinic; 13=Auxillary Midwife; 888=Others; 999=Don’t Know"
"child_fever_where_oth","Others",""
"child_fever_else","Did you go anywhere else for advice or treatment for this illness?","0=Nowhere else; 1=Township hospital; 2=Station hospital; 3=RHC/Health Assistant; 4=SRHC/Midwife; 5=Private clinic/doctor; 6=Community Health Worker; 7=Traditional healer; 8=Untrained health provider; 9=Drug from the shop; 10=EHO clinics/volunteers; 11=Family Members; 12=NGO’s Clinic; 13=Auxillary Midwife; 888=Others; 999=Don't Know"
"child_fever_else_oth","Others",""
"child_fever_pay","Did you pay for the advice or treatment?","1=Yes; 0=No; 777=Not sure; 999=Don't know"
"child_fever_amount","How much did you have to pay for all the treatments?",""
"child_fever_items","What are the cost related?","1=Transportation; 2=Registration fees; 3=Medicines; 4=Laboratory tests; 5=Provider fees; 6=Gifts; 888=Other (specify)"
"child_fever_loan","Did the total cost of the treatment require you to take a loan or borrow money?","1=Yes; 0=No; 777=Not sure; 999=Don't know"
"child_fever_items_oth","Please specify other cost item.",""
"child_fever_still","Does the child still feeling fever?","1=Yes; 0=No"
"child_fever_recover","How long did child take to recover?",""
"child_fever_recoverunit","Select unit","1=Day; 2=Week; 3=Month"
"child_fever_malaria","Did your youngest child receive testing for malaria during fever?","1=Yes; 0=No; 999=Do not know"
