sr_pcode,state_region,ts_pcode,township,vt_pcode,village_tract,village_pcode,village,village_mya_mmr3
MMR003,Kayin,MMR003001,Hpa-An,MMR003001056,Pawt Htaw,169171,Pawt Htaw,ပေါ့ထော်
MMR003,Kayin,MMR003001,Hpa-An,MMR003001056,Pawt Htaw,169175,Saik Lan Taung,ဆိုက်လံတောင်
MMR003,Kayin,MMR003001,Hpa-An,MMR003001056,Pawt Htaw,169177,Zee Kone,ဇီးကုန်း
MMR003,Kayin,MMR003001,Hpa-An,MMR003001058,Pyin Ma Pin Seik,169187,Kar Ma Hta,ကာမထ
MMR003,Kayin,MMR003001,Hpa-An,MMR003001058,Pyin Ma Pin Seik,169188,Kwee Lay,ကွီးလေး
MMR003,Kayin,MMR003001,Hpa-An,MMR003001058,Pyin Ma Pin Seik,169185,Kya Thaung Seik,ကျသောင်းဆိပ်
MMR003,Kayin,MMR003001,Hpa-An,MMR003001058,Pyin Ma Pin Seik,169189,Noet Bei Baw,နို့ဘယ်ဘော
MMR003,Kayin,MMR003001,Hpa-An,MMR003001058,Pyin Ma Pin Seik,169184,Pyin Ma Pin Seik,ပျဉ်းမပင်ဆိပ်
MMR003,Kayin,MMR003001,Hpa-An,MMR003001058,Pyin Ma Pin Seik,169186,Thea Hpyu Chaung,သဲဖြူချောင်း
MMR003,Kayin,MMR003001,Hpa-An,MMR003001033,San Hpa Ree,169048,Kawt Thar Su,ကော့သာဆူး
MMR003,Kayin,MMR003001,Hpa-An,MMR003001033,San Hpa Ree,169047,Ko Wi Lar,ကိုဝီလာ
MMR003,Kayin,MMR003001,Hpa-An,MMR003001033,San Hpa Ree,220886,Nyein Chan Thar Yar,ငြိမ်းချမ်းသာယာ
MMR003,Kayin,MMR003001,Hpa-An,MMR003001033,San Hpa Ree,169045,San Hpa Ree,စံဖရီး
MMR003,Kayin,MMR003001,Hpa-An,MMR003001033,San Hpa Ree,169046,San Pan Non,စံပံနုံ
MMR003,Kayin,MMR003001,Hpa-An,MMR003001072,Shwe Taw,169254,Kawt Ei Maik,ကော့အီမိုက်
MMR003,Kayin,MMR003001,Hpa-An,MMR003001072,Shwe Taw,169251,Kawt Lone Sein,ကော့လုံးစိန်
MMR003,Kayin,MMR003001,Hpa-An,MMR003001072,Shwe Taw,169252,Kawt Pa Yan,ကော့ပရံ
MMR003,Kayin,MMR003001,Hpa-An,MMR003001072,Shwe Taw,169253,Nat Kyun,နတ်ကျွန်း
MMR003,Kayin,MMR003001,Hpa-An,MMR003001072,Shwe Taw,169250,Shwe Taw,ရွှေတော
MMR003,Kayin,MMR003001,Hpa-An,MMR003001034,Sin Kyone,169052,Kyon Hpa Ye Myanmar Su,ကျုံဖရဲ မြန်မာစု
MMR003,Kayin,MMR003001,Hpa-An,MMR003001034,Sin Kyone,169049,Sin Kyone,ဆင်းကျုံး
MMR003,Kayin,MMR003001,Hpa-An,MMR003001034,Sin Kyone,169050,Sin Kyone (Ywar Lay),ဆင်းကျုံး (ရွာလေး)
MMR003,Kayin,MMR003001,Hpa-An,MMR003001034,Sin Kyone,169051,Taw Gyi Kone,တောကြီးကုန်း
MMR003,Kayin,MMR003001,Hpa-An,MMR003001034,Sin Kyone,169053,Thet Kei Kone,သက်ကယ်ကုန်း
MMR003,Kayin,MMR003001,Hpa-An,MMR003001040,Ta Dar U,169095,Kya Khat Chaung,ကျခတ်ချောင်း
MMR003,Kayin,MMR003001,Hpa-An,MMR003001040,Ta Dar U,169093,Kyon Kha Nat,ကျုံခနတ်
MMR003,Kayin,MMR003001,Hpa-An,MMR003001040,Ta Dar U,169094,Shauk Kone,ရှောက်ကုန်း
MMR003,Kayin,MMR003001,Hpa-An,MMR003001040,Ta Dar U,169092,Ta Dar U,တံတားဦး
MMR003,Kayin,MMR003001,Hpa-An,MMR003001041,Ta Gay Laung,169097,Min Saw,မင်းစော
MMR003,Kayin,MMR003001,Hpa-An,MMR003001041,Ta Gay Laung,169096,Ta Gay Laung,တဂေးလောင်း
MMR003,Kayin,MMR003001,Hpa-An,MMR003001039,Ta Kaung Boe,169079,Ah Lel,အလယ်
MMR003,Kayin,MMR003001,Hpa-An,MMR003001039,Ta Kaung Boe,169075,Baw Tha Pyu,ဘောသပြု
MMR003,Kayin,MMR003001,Hpa-An,MMR003001039,Ta Kaung Boe,169083,Gyoet Pin Seik,ဂျို့ပင်ဆိပ်
MMR003,Kayin,MMR003001,Hpa-An,MMR003001039,Ta Kaung Boe,169082,Htee Hpoe Nat,ထီးဖိုးနက်
MMR003,Kayin,MMR003001,Hpa-An,MMR003001039,Ta Kaung Boe,169078,Htee Mei Baw,ထီးမယ်ဘော
MMR003,Kayin,MMR003001,Hpa-An,MMR003001039,Ta Kaung Boe,169080,Khwee Tha Khawt,ခွီးသခေါ့
MMR003,Kayin,MMR003001,Hpa-An,MMR003001039,Ta Kaung Boe,169090,Kone Tan Gyi,ကုန်းတန်းကြီး
MMR003,Kayin,MMR003001,Hpa-An,MMR003001039,Ta Kaung Boe,169088,Let Pan Tan,လက်ပံတန်း
MMR003,Kayin,MMR003001,Hpa-An,MMR003001039,Ta Kaung Boe,169074,Me Lan,မဲလန်
MMR003,Kayin,MMR003001,Hpa-An,MMR003001039,Ta Kaung Boe,169076,Me Lan Chaung Wa,မဲလန်ချောင်းဝ
MMR003,Kayin,MMR003001,Hpa-An,MMR003001039,Ta Kaung Boe,169089,Mee Pone,မီးပုန်း
MMR003,Kayin,MMR003001,Hpa-An,MMR003001039,Ta Kaung Boe,169085,Myaing,မြိုင်
MMR003,Kayin,MMR003001,Hpa-An,MMR003001039,Ta Kaung Boe,169077,Naw Kwar,နောကွား
MMR003,Kayin,MMR003001,Hpa-An,MMR003001039,Ta Kaung Boe,169081,Naw Tha Yay,နော်သရေး
MMR003,Kayin,MMR003001,Hpa-An,MMR003001039,Ta Kaung Boe,169086,Saint Chaung,စိမ့်ချောင်း
MMR003,Kayin,MMR003001,Hpa-An,MMR003001039,Ta Kaung Boe,169087,Saint Chaung (Ku Lar Su),စိမ့်ချောင်း (ကုလားစု)
MMR003,Kayin,MMR003001,Hpa-An,MMR003001039,Ta Kaung Boe,169091,Swei Par Kone,စွယ်ပါကုန်း
MMR003,Kayin,MMR003001,Hpa-An,MMR003001039,Ta Kaung Boe,169073,Ta Kaung Boe,တကောင်ဘိုး
MMR003,Kayin,MMR003001,Hpa-An,MMR003001039,Ta Kaung Boe,169084,Wea Pyan Chaung Seik,ဝဲပျံချောင်းဝ
MMR003,Kayin,MMR003001,Hpa-An,MMR003001037,Ta Yoke Hla (Kawt Kyaik),169064,Kawt Kyaik,ကော့ကျိုက်
MMR003,Kayin,MMR003001,Hpa-An,MMR003001037,Ta Yoke Hla (Kawt Kyaik),169063,Ta Yoke Hla,တရုပ်လှ
MMR003,Kayin,MMR003001,Hpa-An,MMR003001037,Ta Yoke Hla (Kawt Kyaik),169066,Ta Yoke Hla (Kyun),တရုပ်လှ (ကျွန်း)
MMR003,Kayin,MMR003001,Hpa-An,MMR003001037,Ta Yoke Hla (Kawt Kyaik),169065,Ta Yoke Hla (Ywar Thit),တရုပ်လှ (ရွာသစ်)
MMR003,Kayin,MMR003001,Hpa-An,MMR003001038,Taw Pon,169071,Hlaing,လှိုင်
MMR003,Kayin,MMR003001,Hpa-An,MMR003001038,Taw Pon,169072,Hta Ma Lauk,ထမလောက်
MMR003,Kayin,MMR003001,Hpa-An,MMR003001038,Taw Pon,169069,Kaw Khar Dee,ကော်ခါဒီး
MMR003,Kayin,MMR003001,Hpa-An,MMR003001038,Taw Pon,169068,Kawt Ma Yan,ကော့မရမ်း
MMR003,Kayin,MMR003001,Hpa-An,MMR003001038,Taw Pon,169070,Kawt Tha Poke,ကော့သပုတ်
MMR003,Kayin,MMR003001,Hpa-An,MMR003001038,Taw Pon,169067,Taw Pon,တော်ပုံ
MMR003,Kayin,MMR003001,Hpa-An,MMR003001085,Than Hlei,169321,Kawt Pa Naw,ကော့ပနော
MMR003,Kayin,MMR003001,Hpa-An,MMR003001085,Than Hlei,169320,Than Hlei,သံလှယ်
MMR003,Kayin,MMR003001,Hpa-An,MMR003001092,Thar Ma Nya,218809,Thar Ma Nya,သာမည
MMR003,Kayin,MMR003001,Hpa-An,MMR003001086,Thar Yar Kone,169325,Kawt Thon,ကော့သုန်
MMR003,Kayin,MMR003001,Hpa-An,MMR003001086,Thar Yar Kone,169324,Naung Shwe (North),နောင်ရွှေ (မြောက်)
MMR003,Kayin,MMR003001,Hpa-An,MMR003001086,Thar Yar Kone,169323,Naung Shwe (South),နောင်ရွှေ (တောင်)
MMR003,Kayin,MMR003001,Hpa-An,MMR003001086,Thar Yar Kone,169322,Thar Yar Kone,သာယာကုန်း
MMR003,Kayin,MMR003001,Hpa-An,MMR003001082,Wea Gyi,169308,Htar Ni Kone,ဌာနီကုန်း
MMR003,Kayin,MMR003001,Hpa-An,MMR003001082,Wea Gyi,169307,Wea Gyi,ဝဲကြီး
MMR003,Kayin,MMR003001,Hpa-An,MMR003001083,Win Kyan,169313,Hpar Lin Kyauk Tan,ဖာလင်ကျောက်တန်း
MMR003,Kayin,MMR003001,Hpa-An,MMR003001083,Win Kyan,169310,Kawt Ka Ret Htaw,ကော့ကရက်ထော်
MMR003,Kayin,MMR003001,Hpa-An,MMR003001083,Win Kyan,169314,Kone Ka Lay,ကုန်းကလေး
MMR003,Kayin,MMR003001,Hpa-An,MMR003001083,Win Kyan,169311,Ta Dar U,တံတားဦး
MMR003,Kayin,MMR003001,Hpa-An,MMR003001083,Win Kyan,169312,Taw Gyi,တောကြီး
MMR003,Kayin,MMR003001,Hpa-An,MMR003001083,Win Kyan,169309,Win Kyan,ဝင်းကျန်
MMR003,Kayin,MMR003001,Hpa-An,MMR003001084,Wut Gyi,169318,Htone Taung,ထုံးတောင်
MMR003,Kayin,MMR003001,Hpa-An,MMR003001084,Wut Gyi,169317,Kawt Hpyaing,ကော့ဖြိုင်
MMR003,Kayin,MMR003001,Hpa-An,MMR003001084,Wut Gyi,169319,Thone Ein,သုံးအိမ်
MMR003,Kayin,MMR003001,Hpa-An,MMR003001084,Wut Gyi,169315,Wut Gyi,ဝတ်ကြီး
MMR003,Kayin,MMR003001,Hpa-An,MMR003001084,Wut Gyi,169316,Yae Paw Thaung,ရေပေါ်သောင်
MMR003,Kayin,MMR003001,Hpa-An,MMR003001074,Ya Thayt Pyan,169263,Ga Wun Kone,ဂဝံကုန်း
MMR003,Kayin,MMR003001,Hpa-An,MMR003001074,Ya Thayt Pyan,169264,Nat Kone,နတ်ကုန်း
MMR003,Kayin,MMR003001,Hpa-An,MMR003001074,Ya Thayt Pyan,169262,Ya Thayt Pyan (Ywar Gyi),ရသေ့ပျံ (ရွာကြီး)
MMR003,Kayin,MMR003001,Hpa-An,MMR003001075,Yae Kyaw,169267,Ma Gyi Kyun,မကျီးကျွန်း
MMR003,Kayin,MMR003001,Hpa-An,MMR003001075,Yae Kyaw,169265,Yae Kyaw Gyi,ရေကျော်ကြီး
MMR003,Kayin,MMR003001,Hpa-An,MMR003001075,Yae Kyaw,169266,Yae Kyaw Ka Lay,ရေကျော်ကလေး
MMR003,Kayin,MMR003001,Hpa-An,MMR003001073,Ye Thar,169261,Hlaing Ywar,လှိုင်ရွာ
MMR003,Kayin,MMR003001,Hpa-An,MMR003001073,Ye Thar,169256,Ka Mawt Ka Sin,ကမော့ကစင်
MMR003,Kayin,MMR003001,Hpa-An,MMR003001073,Ye Thar,169258,Ka Mawt Ka Sin (Ywar Thit),ကမော့ကစင် (ရွာသစ်)
MMR003,Kayin,MMR003001,Hpa-An,MMR003001073,Ye Thar,169260,Kawt Ku,ကော့ကူး
MMR003,Kayin,MMR003001,Hpa-An,MMR003001073,Ye Thar,169259,Kha Rit,ခရစ်
MMR003,Kayin,MMR003001,Hpa-An,MMR003001073,Ye Thar,169257,Naung Kha Yaing,နောင်ခရိုင်
MMR003,Kayin,MMR003001,Hpa-An,MMR003001073,Ye Thar,169255,Ye Thar,ရဲသာ
MMR003,Kayin,MMR003001,Hpa-An,MMR003001035,Zar Tha Pyin (East),169055,Kyon Kayin Su,ကျုံကရင်စု
MMR003,Kayin,MMR003001,Hpa-An,MMR003001035,Zar Tha Pyin (East),169054,Zar Tha Pyin (East),ဇာသပြင် (ရှေ့)
MMR003,Kayin,MMR003001,Hpa-An,MMR003001036,Zar Tha Pyin (West),169059,Ka Tun Tar,ကတွန်းတာ
MMR003,Kayin,MMR003001,Hpa-An,MMR003001036,Zar Tha Pyin (West),169057,Kawt Kyaik,ကော့ကျိုက်
MMR003,Kayin,MMR003001,Hpa-An,MMR003001036,Zar Tha Pyin (West),169058,Kawt Kyaik Pun,ကော့ကျိုက်ပွန်
MMR003,Kayin,MMR003001,Hpa-An,MMR003001036,Zar Tha Pyin (West),169062,Kawt Naung Hpaing,ကော့နောင်ဖိုင်
MMR003,Kayin,MMR003001,Hpa-An,MMR003001036,Zar Tha Pyin (West),169061,Kawt San Pale,ကော့စံပလဲ
MMR003,Kayin,MMR003001,Hpa-An,MMR003001036,Zar Tha Pyin (West),169060,Naung Daing,နောင်ဒိုင်း
MMR003,Kayin,MMR003001,Hpa-An,MMR003001036,Zar Tha Pyin (West),169056,Zar Tha Pyin (West),ဇာသပြင် (နောက်)
MMR003,Kayin,MMR003003,Hpapun,MMR003003012,Be Saw Law,169827,Baw Lay Kho,ဘော်လေးခို
MMR003,Kayin,MMR003003,Hpapun,MMR003003012,Be Saw Law,169822,Be Saw Law,ဘဲစောလော်
MMR003,Kayin,MMR003003,Hpapun,MMR003003012,Be Saw Law,169825,Bei Kho,ဘယ်ခို
MMR003,Kayin,MMR003003,Hpapun,MMR003003012,Be Saw Law,169826,Htee Baw Lo Yo,ထီးဘော်လိုယို
MMR003,Kayin,MMR003003,Hpapun,MMR003003012,Be Saw Law,169830,Ka Le Mu Doe,ကလဲမူဒိုး
MMR003,Kayin,MMR003003,Hpapun,MMR003003012,Be Saw Law,169828,Ke Doe,ကဲဒိုး
MMR003,Kayin,MMR003003,Hpapun,MMR003003012,Be Saw Law,169823,Khay Pu,​ခေးပူ
MMR003,Kayin,MMR003003,Hpapun,MMR003003012,Be Saw Law,169831,Le Mee,လဲမီး
MMR003,Kayin,MMR003003,Hpapun,MMR003003012,Be Saw Law,169824,Lone Ma Hti,လုံးမထိ
MMR003,Kayin,MMR003003,Hpapun,MMR003003012,Be Saw Law,169829,Mee Doe (See Day),မီးဒိုး (စီးဒေး)
MMR003,Kayin,MMR003003,Hpapun,MMR003003008,Bwar Doe,169790,Au Tu Hta,အူးတူးထ
MMR003,Kayin,MMR003003,Hpapun,MMR003003008,Bwar Doe,169786,Bwar Doe,ဘွားဒိုး
MMR003,Kayin,MMR003003,Hpapun,MMR003003008,Bwar Doe,169791,Hpaw Di Doe,ဖောဒီးဒိုး
MMR003,Kayin,MMR003003,Hpapun,MMR003003008,Bwar Doe,169793,Hpaw Hta,ဖောထ
MMR003,Kayin,MMR003003,Hpapun,MMR003003008,Bwar Doe,169789,Lar Kaw Doe,လာကော်ဒိုး
MMR003,Kayin,MMR003003,Hpapun,MMR003003008,Bwar Doe,169792,Mar Mu Doe,မာမူဒိုး
MMR003,Kayin,MMR003003,Hpapun,MMR003003008,Bwar Doe,169788,Naw Ta Doe,နောတဒိုး
MMR003,Kayin,MMR003003,Hpapun,MMR003003008,Bwar Doe,169794,Say Le Doe,ဆေးလဲဒိုး
MMR003,Kayin,MMR003003,Hpapun,MMR003003008,Bwar Doe,169787,Toe Nyoe,တိုးညိုး
MMR003,Kayin,MMR003003,Hpapun,MMR003003032,Daw Mwe,170005,Daw Mwe,ဒေါမွဲ
MMR003,Kayin,MMR003003,Hpapun,MMR003003032,Daw Mwe,170010,Htee Baw Khee,ထီးဘောခီး
MMR003,Kayin,MMR003003,Hpapun,MMR003003032,Daw Mwe,170015,Ka Law Kho,ကလောခို
MMR003,Kayin,MMR003003,Hpapun,MMR003003032,Daw Mwe,170014,Khay Ti Hta,ခေးတီထ
MMR003,Kayin,MMR003003,Hpapun,MMR003003032,Daw Mwe,170009,Khee Ne Hta,ခီးနဲထ
MMR003,Kayin,MMR003003,Hpapun,MMR003003032,Daw Mwe,170011,Law Au War,လောအူးဝါး
MMR003,Kayin,MMR003003,Hpapun,MMR003003032,Daw Mwe,170007,Law Pa Lar Hta,လောပလာထ
MMR003,Kayin,MMR003003,Hpapun,MMR003003032,Daw Mwe,170008,Nyar Thay Law,ညာသေလော်
MMR003,Kayin,MMR003003,Hpapun,MMR003003032,Daw Mwe,170013,Ta Du Hta,​တဒူးထ
MMR003,Kayin,MMR003003,Hpapun,MMR003003032,Daw Mwe,170016,Ta Hpaw Hpar,တဖောဖား
MMR003,Kayin,MMR003003,Hpapun,MMR003003032,Daw Mwe,170012,Tar Au Law,တာအူလော်
MMR003,Kayin,MMR003003,Hpapun,MMR003003032,Daw Mwe,170006,Thaw Thea Law,သောသယ်လော်
MMR003,Kayin,MMR003003,Hpapun,MMR003003026,Day War (Nat Kyauk),169937,Bu War Twee,ဘူးဝါတွီး
MMR003,Kayin,MMR003003,Hpapun,MMR003003026,Day War (Nat Kyauk),169935,Day War (Nat Kyauk),ဒေးဝါး (နတ်ကျောက်)
MMR003,Kayin,MMR003003,Hpapun,MMR003003026,Day War (Nat Kyauk),169940,Htee Gay Law,ထီးဂေလော်
MMR003,Kayin,MMR003003,Hpapun,MMR003003026,Day War (Nat Kyauk),169936,Kwee Ne,ကွီးနဲ
MMR003,Kayin,MMR003003,Hpapun,MMR003003026,Day War (Nat Kyauk),169938,Thaw Thea Ka,သောသဲက
MMR003,Kayin,MMR003003,Hpapun,MMR003003026,Day War (Nat Kyauk),169939,War Mo Law,ဝါမိုလော်
MMR003,Kayin,MMR003003,Hpapun,MMR003003019,Hla Gun Pyo,169901,Bo Loe Hta,ဘိုလိုးထ
MMR003,Kayin,MMR003003,Hpapun,MMR003003019,Hla Gun Pyo,169899,Hla Gun Pyo,လှဂွန်းပျို
MMR003,Kayin,MMR003003,Hpapun,MMR003003019,Hla Gun Pyo,169900,Hpaw War Hta,ဖောဝါးထ
MMR003,Kayin,MMR003003,Hpapun,MMR003003019,Hla Gun Pyo,169902,Hto Loe Khee,ထိုလိုးခီး
MMR003,Kayin,MMR003003,Hpapun,MMR003003001,Hpapun (West),169718,Ah Htet Ywar,အထက်ရွာ
MMR003,Kayin,MMR003003,Hpapun,MMR003003001,Hpapun (West),169721,Dwei Lo,ဒွယ်လိုး
MMR003,Kayin,MMR003003,Hpapun,MMR003003001,Hpapun (West),169717,Hpapun (West),ဖါပွန် (အနောက်)
MMR003,Kayin,MMR003003,Hpapun,MMR003003001,Hpapun (West),169722,Kawt He,ကော်ဟဲ
MMR003,Kayin,MMR003003,Hpapun,MMR003003001,Hpapun (West),169726,Lar Kaw He,လာကော်ဟဲ
MMR003,Kayin,MMR003003,Hpapun,MMR003003001,Hpapun (West),169720,Law Pu Doe,လောပူဒိုး
MMR003,Kayin,MMR003003,Hpapun,MMR003003001,Hpapun (West),169727,Le Kawt,လဲကော့
MMR003,Kayin,MMR003003,Hpapun,MMR003003001,Hpapun (West),169723,Me War De,မဲဝါးဒဲ
MMR003,Kayin,MMR003003,Hpapun,MMR003003001,Hpapun (West),169719,Pan Htun,ပန်းထွန်း
MMR003,Kayin,MMR003003,Hpapun,MMR003003001,Hpapun (West),169724,Pay Tay Doe,​ပေးတေးဒိုး
MMR003,Kayin,MMR003003,Hpapun,MMR003003001,Hpapun (West),169725,Ta Paw Doe,တပေါဒိုး
MMR003,Kayin,MMR003003,Hpapun,MMR003003013,Htee Baw Khee,169838,Hpa La Kho,ဖလခို
MMR003,Kayin,MMR003003,Hpapun,MMR003003013,Htee Baw Khee,169839,Hpar Gaw Pu,ဖါးဂေါ်ပူ
MMR003,Kayin,MMR003003,Hpapun,MMR003003013,Htee Baw Khee,169832,Htee Baw Khee,ထီးဘောခီး
MMR003,Kayin,MMR003003,Hpapun,MMR003003013,Htee Baw Khee,169834,Htee Mu Khee,ထီးမူခီး
MMR003,Kayin,MMR003003,Hpapun,MMR003003013,Htee Baw Khee,169833,Ka Bu Khee,ကဘူခီး
MMR003,Kayin,MMR003003,Hpapun,MMR003003013,Htee Baw Khee,169835,Lay Pway Khee,လေပွေခီး
MMR003,Kayin,MMR003003,Hpapun,MMR003003013,Htee Baw Khee,169837,Saw Ei Doe,စောအီဒိုး
MMR003,Kayin,MMR003003,Hpapun,MMR003003013,Htee Baw Khee,169836,Tar Baw Kaw Doe,တာဘောကော်ဒိုး
MMR003,Kayin,MMR003003,Hpapun,MMR003003013,Htee Baw Khee,169840,Tar Hpaw Doe,တာဖေါဒိုး
MMR003,Kayin,MMR003003,Hpapun,MMR003003025,Ka Taing Ti,169934,Hpar Long Ywar Lay,ဖါလုံရွာလေး
MMR003,Kayin,MMR003003,Hpapun,MMR003003025,Ka Taing Ti,169931,Htee Thea Lay,ထီးသဲလေ
MMR003,Kayin,MMR003003,Hpapun,MMR003003025,Ka Taing Ti,169926,Ka Kaing Baw,ကကိုင်းဘော
MMR003,Kayin,MMR003003,Hpapun,MMR003003025,Ka Taing Ti,169927,Ka Ku Lar,ကကုလား
MMR003,Kayin,MMR003003,Hpapun,MMR003003025,Ka Taing Ti,169928,Ka Shan,ကရှမ်း
MMR003,Kayin,MMR003003,Hpapun,MMR003003025,Ka Taing Ti,169925,Ka Taing Ti,ကတိုင်တိ
MMR003,Kayin,MMR003003,Hpapun,MMR003003025,Ka Taing Ti,169929,Ka Taung Thu,ကတောင်သူ
MMR003,Kayin,MMR003003,Hpapun,MMR003003025,Ka Taing Ti,169932,Noet Hpaw Htee,နို့ဖေါထီး
MMR003,Kayin,MMR003003,Hpapun,MMR003003025,Ka Taing Ti,169933,Nyar Paw Khee,ညာပေါ်ခီး
MMR003,Kayin,MMR003003,Hpapun,MMR003003025,Ka Taing Ti,169930,Po Mar Te,ပိုမာတဲ
MMR003,Kayin,MMR003003,Hpapun,MMR003003011,Kawt Lu Doe,169820,Hpaw Mu Kha Doe,ဖေါမူခါးဒိုး
MMR003,Kayin,MMR003003,Hpapun,MMR003003011,Kawt Lu Doe,169815,Kawt Lu Doe,ကော့လူဒိုး
MMR003,Kayin,MMR003003,Hpapun,MMR003003011,Kawt Lu Doe,169821,Kyar Le Doe,ကြာလဲဒိုး
MMR003,Kayin,MMR003003,Hpapun,MMR003003011,Kawt Lu Doe,169818,Lay Baw Khee,လေးဘောခီး
MMR003,Kayin,MMR003003,Hpapun,MMR003003011,Kawt Lu Doe,169819,Naw Yo Hta,နော်ယိုထ
MMR003,Kayin,MMR003003,Hpapun,MMR003003011,Kawt Lu Doe,169816,Ta Dar Doe,တတားဒိုး
MMR003,Kayin,MMR003003,Hpapun,MMR003003011,Kawt Lu Doe,169817,Yar Pa Lo Doe,ယာပလိုဒိုး
MMR003,Kayin,MMR003003,Hpapun,MMR003003006,Khaw Poke,169768,Baw Khaw,ဘောခေါ်
MMR003,Kayin,MMR003003,Hpapun,MMR003003006,Khaw Poke,169764,Baw Khee,ဘောခီး
MMR003,Kayin,MMR003003,Hpapun,MMR003003006,Khaw Poke,169772,Chaw Bwe Doe,ချောဘွဲဒိုး
MMR003,Kayin,MMR003003,Hpapun,MMR003003006,Khaw Poke,169765,Hpaw Hta,ဖေါထ
MMR003,Kayin,MMR003003,Hpapun,MMR003003006,Khaw Poke,169770,Hpoe Mu Doe,ဖိုးမူဒိုး
MMR003,Kayin,MMR003003,Hpapun,MMR003003006,Khaw Poke,169763,Htee Pa Do Khee,ထီးပဒိုခီး
MMR003,Kayin,MMR003003,Hpapun,MMR003003006,Khaw Poke,169771,Hto Hpoe Doe,ထိုဖိုးဒိုး
MMR003,Kayin,MMR003003,Hpapun,MMR003003006,Khaw Poke,169769,Hto Hpoe Par De,ထိုဖိုးပါဒဲ
MMR003,Kayin,MMR003003,Hpapun,MMR003003006,Khaw Poke,169767,Kaw Nar Par Doe,ကော်နာပါဒိုး
MMR003,Kayin,MMR003003,Hpapun,MMR003003006,Khaw Poke,169762,Khaw Poke,ခေါပုတ်
MMR003,Kayin,MMR003003,Hpapun,MMR003003006,Khaw Poke,169773,Kyoe Kho Doe,ကြိုးခိုဒိုး
MMR003,Kayin,MMR003003,Hpapun,MMR003003006,Khaw Poke,169766,Ta Yar Kyoe,တရာကြိုး
MMR003,Kayin,MMR003003,Hpapun,MMR003003006,Khaw Poke,169774,U Tu Ka Lo Lo,အူးတူးကလိုလို
MMR003,Kayin,MMR003003,Hpapun,MMR003003023,Kun Pin Wa,169912,Baw Tho Htat,ဘောသိုထပ်
MMR003,Kayin,MMR003003,Hpapun,MMR003003023,Kun Pin Wa,169910,Gay Tay,ဂေတေး
MMR003,Kayin,MMR003003,Hpapun,MMR003003023,Kun Pin Wa,169908,Hpar Kya,ဖါးကျ
MMR003,Kayin,MMR003003,Hpapun,MMR003003023,Kun Pin Wa,169914,Htee Law Thay Hta,တီးလော်သေထ
MMR003,Kayin,MMR003003,Hpapun,MMR003003023,Kun Pin Wa,169913,Htee Pa Do Khee,ထီးပဒိုခီး
MMR003,Kayin,MMR003003,Hpapun,MMR003003023,Kun Pin Wa,169907,Kun Pin Wa,ကွမ်းပင်ဝ
MMR003,Kayin,MMR003003,Hpapun,MMR003003023,Kun Pin Wa,169911,Po Lel,ပိုလယ်
MMR003,Kayin,MMR003003,Hpapun,MMR003003023,Kun Pin Wa,169909,Shwe He,ရွှေဟဲ
MMR003,Kayin,MMR003003,Hpapun,MMR003003029,Kwin Da La (Yae Pu),169974,Baw Kyo Lel,ဘောကြိုလယ်
MMR003,Kayin,MMR003003,Hpapun,MMR003003029,Kwin Da La (Yae Pu),169972,Htee Law Thay Hta,ထီးလော်သေထ
MMR003,Kayin,MMR003003,Hpapun,MMR003003029,Kwin Da La (Yae Pu),169979,Ka Nyin Don Chaung Wa,ကညင်ဒုံချောင်းဝ
MMR003,Kayin,MMR003003,Hpapun,MMR003003029,Kwin Da La (Yae Pu),169982,Kat Pa Lay Kho,ကပ်ပလေးခို
MMR003,Kayin,MMR003003,Hpapun,MMR003003029,Kwin Da La (Yae Pu),169967,Kwin Da La,ကွင်းဒလ
MMR003,Kayin,MMR003003,Hpapun,MMR003003029,Kwin Da La (Yae Pu),169968,Lay Hpoe Hta (East),​လေးဖိုးထ (အရှေ့)
MMR003,Kayin,MMR003003,Hpapun,MMR003003029,Kwin Da La (Yae Pu),169969,Lay Hpoe Hta (West),လေးဖိုးထ (အနောက်)
MMR003,Kayin,MMR003003,Hpapun,MMR003003029,Kwin Da La (Yae Pu),169980,Lay Nyaw,လေးညော
MMR003,Kayin,MMR003003,Hpapun,MMR003003029,Kwin Da La (Yae Pu),169977,Moe Lar War,မိုးလာဝါး
MMR003,Kayin,MMR003003,Hpapun,MMR003003029,Kwin Da La (Yae Pu),169970,Nay Ka,နေက
MMR003,Kayin,MMR003003,Hpapun,MMR003003029,Kwin Da La (Yae Pu),169973,Noet Hke Hta,နို့ခဲထ
MMR003,Kayin,MMR003003,Hpapun,MMR003003029,Kwin Da La (Yae Pu),169981,Nyaw Thay Khee,ညာသေခီး
MMR003,Kayin,MMR003003,Hpapun,MMR003003029,Kwin Da La (Yae Pu),169975,Shwe Yay,ရွှေရေး
MMR003,Kayin,MMR003003,Hpapun,MMR003003029,Kwin Da La (Yae Pu),169983,Ta Po Hpoe,တပိုဖိုး
MMR003,Kayin,MMR003003,Hpapun,MMR003003029,Kwin Da La (Yae Pu),169976,Thaw Thea Kho,သောသဲခို
MMR003,Kayin,MMR003003,Hpapun,MMR003003029,Kwin Da La (Yae Pu),169978,War Tho Ku Lar,ဝါးသိုးကုလား
